personnel_id,service_years,deployment_days,working_hours_week,night_shifts,consecutive_duty_days,leave_days,transfers_last_year,training_hours,workload_score,sleep_score,wellness_stress,mood_score,social_support,stress_risk,risk_week_1,risk_week_2,risk_week_3,risk_week_4,risk_week_5
P0328,1,51,68,4,7,10,0,19,46,65,13,74,57,0,36,34,28,28,30
P0329,4,15,34,5,6,8,1,14,35,71,34,67,64,0,36,35,39,38,37
P0330,14,49,54,6,2,11,1,16,45,52,73,66,91,0,39,35,41,38,36
P0331,14,8,35,10,7,9,0,27,54,48,85,65,90,0,37,40,37,36,47
P0332,10,33,49,6,5,14,0,10,100,76,94,78,70,1,30,23,14,5,0
P0333,8,41,46,8,6,9,2,5,53,45,49,70,68,0,31,30,26,29,19
P0334,21,97,31,4,3,15,3,1,43,65,57,56,43,1,24,19,19,15,13
P0335,12,5,54,8,5,11,2,24,42,63,64,56,96,0,42,26,28,28,21
P0336,21,73,47,8,5,0,2,24,79,66,74,73,85,0,39,43,39,42,45
P0337,25,42,31,9,6,17,1,6,76,72,54,75,80,1,37,39,36,40,42
P0338,8,48,58,9,6,5,2,7,49,92,67,63,28,0,29,38,40,41,35
P0339,6,41,63,8,4,13,0,10,24,44,57,50,68,0,37,35,37,25,23
P0340,24,49,63,6,2,7,0,21,38,81,58,88,65,0,27,30,28,35,40
P0341,16,34,53,7,9,11,1,3,89,30,30,85,79,1,39,44,58,55,69
P0342,8,73,50,10,11,4,1,0,70,89,41,36,59,1,46,43,39,38,35
P0343,16,27,62,3,6,10,0,27,59,37,38,89,63,0,42,35,35,35,25
P0344,13,65,65,3,2,6,2,14,92,100,24,65,78,0,46,48,32,34,27
P0345,23,23,60,7,3,13,0,15,93,62,15,71,54,0,40,37,34,41,41
P0346,7,37,42,8,6,9,0,11,57,87,40,86,57,0,33,48,28,36,33
P0347,25,12,52,3,8,11,0,15,58,84,43,94,70,0,28,19,16,11,4
P0348,24,49,54,6,2,0,0,1,48,61,50,84,90,0,34,28,23,8,8
P0349,5,73,34,6,5,7,1,6,53,63,59,72,81,1,46,45,54,64,62
P0350,5,36,54,0,5,9,0,13,31,55,52,46,85,0,37,42,45,51,53
P0351,14,33,70,5,7,8,0,0,31,80,43,36,68,0,32,44,51,44,56
P0352,2,11,56,5,4,11,0,10,27,62,30,82,92,0,35,31,32,26,38
P0353,8,32,63,5,1,6,1,9,78,56,66,89,37,0,28,34,27,27,25
P0354,11,0,52,12,7,7,0,10,30,76,46,55,100,0,35,33,46,25,23
P0355,25,16,49,1,8,12,2,8,93,55,39,64,100,0,31,21,24,23,14
P0356,25,43,53,3,5,0,4,5,45,63,44,59,75,1,33,30,18,15,12
P0357,4,70,43,0,6,9,3,0,89,70,33,59,81,0,38,34,37,39,32
P0358,23,105,41,4,4,6,1,13,51,58,37,85,66,0,40,41,48,47,48
P0359,3,24,61,4,3,3,1,10,30,61,37,71,63,0,38,43,54,63,66
P0360,19,72,62,4,8,8,1,2,81,91,42,64,57,1,42,41,39,40,46
P0361,22,44,41,10,6,12,0,12,83,65,61,100,66,1,38,31,35,23,24
P0362,23,34,59,9,6,11,0,10,42,63,56,45,76,0,30,30,33,23,23
P0363,6,48,49,6,9,6,0,9,52,65,79,77,74,1,39,42,36,36,28
P0364,23,39,53,5,2,11,2,0,42,75,72,51,100,1,37,48,35,28,36
P0365,3,41,54,10,4,10,0,17,56,52,87,65,69,1,35,44,41,44,44
P0366,13,28,59,6,5,7,2,3,60,74,59,70,42,1,42,36,28,27,26
P0367,12,4,51,3,4,4,0,12,52,72,59,82,95,0,42,38,42,40,35
P0368,8,1,63,0,7,4,1,6,25,41,38,64,46,0,42,38,44,35,51
P0369,1,54,53,4,5,10,0,9,48,95,65,62,57,0,42,38,56,46,54
P0370,20,31,56,9,3,7,0,20,71,90,35,64,72,0,41,44,47,41,46
P0371,9,24,43,15,5,3,0,16,54,56,19,51,74,0,26,30,32,43,44
P0372,17,38,69,6,5,0,0,20,52,51,79,78,42,1,36,36,30,27,37
P0373,11,57,54,3,7,10,0,14,41,71,23,73,54,0,38,33,28,45,35
P0374,10,42,56,1,6,5,1,15,47,47,57,75,42,0,33,46,37,50,55
P0375,23,22,36,8,6,8,0,0,83,88,30,67,78,0,42,33,30,20,19
P0376,3,67,43,0,6,12,1,10,37,61,71,65,87,1,38,39,28,30,29
P0377,19,76,61,8,5,2,0,10,71,92,73,87,46,1,30,36,50,44,48
P0378,19,50,53,9,3,7,0,21,59,56,59,84,84,1,32,24,31,21,32
P0379,10,61,33,8,6,6,0,8,62,66,73,91,83,1,27,39,31,35,37
P0380,7,68,59,5,4,9,1,14,45,87,48,74,56,0,36,33,34,36,32
P0381,1,65,45,8,9,12,0,14,52,63,93,90,33,0,43,33,46,42,44
P0382,24,53,63,7,8,2,2,20,58,72,63,61,49,1,32,30,45,48,55
P0383,24,52,49,3,7,9,1,11,49,84,30,65,57,0,36,45,42,51,58
P0384,7,50,52,13,6,11,2,18,64,60,49,87,93,0,38,34,26,26,29
P0385,1,12,61,5,5,6,0,0,66,49,45,81,65,0,33,36,42,50,51
P0386,4,55,42,9,2,6,0,1,97,46,43,63,50,1,25,32,38,33,32
P0387,2,5,41,0,4,9,1,0,63,77,15,51,70,0,39,44,42,46,54
P0388,21,19,48,11,5,8,1,18,24,74,56,65,45,1,29,38,30,24,25
P0389,23,69,57,12,6,9,1,17,79,84,20,57,76,1,37,47,62,60,73
P0390,4,58,38,6,6,9,0,18,54,64,0,96,50,0,45,45,38,38,49
P0391,19,74,35,8,7,3,1,7,94,47,41,80,53,1,39,33,17,4,0
P0392,5,31,57,8,3,11,1,8,84,33,33,56,73,1,36,49,41,53,56
P0393,10,10,45,3,3,12,3,11,49,100,31,51,97,0,30,30,31,32,36
P0394,15,32,46,8,9,8,0,22,71,76,0,56,100,0,48,40,40,44,35
P0395,18,40,33,3,7,1,2,24,47,70,31,59,49,0,32,34,31,36,31
P0396,22,40,44,4,4,7,1,18,58,72,45,65,57,0,44,44,44,40,43
P0397,2,65,50,11,5,8,1,14,70,47,35,86,76,1,26,23,21,17,16
P0398,5,29,58,10,5,2,1,21,78,56,56,53,87,1,44,37,35,38,34
P0399,8,46,43,3,5,6,1,10,74,94,76,100,30,0,30,32,28,26,26
P0400,8,14,65,3,6,1,1,9,59,78,58,53,68,0,39,30,28,26,28
P0401,25,49,44,3,11,9,1,11,100,57,69,45,59,1,32,35,31,34,32
P0402,20,38,44,9,5,8,0,5,51,50,70,95,34,1,30,45,43,46,58
P0403,9,20,64,2,7,0,0,11,29,60,28,89,44,0,30,27,33,38,34
P0404,25,32,52,7,1,8,1,4,33,63,57,65,57,0,40,36,31,38,44
P0405,13,34,45,9,4,7,1,19,85,99,68,74,68,0,37,31,40,39,49
P0406,13,32,49,6,8,9,1,16,57,65,39,75,84,0,42,38,33,39,38
P0407,11,81,62,10,6,5,1,22,61,50,32,70,73,0,39,31,26,24,12
P0408,4,36,63,5,1,4,0,1,48,67,59,47,83,0,33,48,44,58,62
P0409,24,32,43,5,7,4,0,25,50,72,18,28,67,0,42,43,45,43,57
P0410,1,0,50,2,10,5,0,1,44,49,26,54,55,0,38,42,51,55,61
P0411,5,17,51,10,1,7,2,4,66,74,35,97,64,0,30,36,43,48,55
P0412,6,32,41,3,9,8,1,8,56,86,57,98,79,0,25,29,16,15,24
P0413,7,22,49,7,1,6,0,21,66,70,52,64,85,0,36,21,19,11,0
P0414,4,71,50,6,7,5,0,14,64,56,69,53,64,1,38,25,27,19,9
P0415,1,34,60,2,5,6,0,10,50,60,30,72,51,0,32,36,37,40,42
P0416,17,69,61,4,1,17,0,6,32,43,28,75,73,0,34,33,35,40,32
P0417,25,39,47,12,6,4,2,2,30,66,58,78,75,0,38,41,29,34,40
P0418,4,39,48,7,8,5,1,20,100,73,32,28,88,1,55,37,24,16,3
P0419,8,36,56,2,6,20,1,18,85,55,36,100,55,0,27,30,30,28,32
P0420,13,38,45,7,6,9,0,21,82,97,11,86,56,0,33,24,23,15,16
P0421,24,79,55,5,4,1,0,15,46,80,54,65,80,0,33,33,29,31,28
P0422,18,0,49,18,1,10,0,0,58,41,79,57,60,1,39,35,54,41,52
P0423,20,0,41,7,7,3,1,3,43,41,27,84,59,0,28,24,20,18,10
P0424,15,25,41,4,9,11,0,15,34,53,68,76,88,0,38,22,20,22,25
P0425,11,38,63,12,8,6,2,9,47,92,47,69,44,0,42,36,44,42,40
P0426,5,55,49,0,1,5,1,8,82,81,13,75,100,0,27,32,29,47,45
P0427,22,49,65,6,1,13,0,4,73,92,30,66,57,1,29,35,30,25,24
P0428,21,29,45,14,3,9,0,19,41,68,29,74,82,1,40,48,41,46,49
P0429,1,62,53,6,1,11,0,15,52,65,42,80,65,0,31,27,18,19,12
P0430,18,63,72,0,5,9,0,16,71,49,56,73,72,0,29,29,30,22,14
P0431,3,42,40,4,6,5,4,8,48,73,85,73,63,1,27,30,21,19,9
P0432,19,61,33,12,1,9,2,13,59,65,19,90,82,0,27,35,27,12,5
P0433,21,45,62,8,7,12,0,3,65,64,38,42,61,0,49,54,45,47,54
P0434,4,25,43,3,7,8,1,11,65,92,30,55,57,0,38,21,15,11,16
P0435,11,55,50,3,4,14,1,0,63,66,23,68,98,0,22,24,17,8,7
P0436,4,41,45,4,5,10,1,1,46,88,50,56,67,0,34,42,52,40,42
P0437,15,38,52,7,1,8,0,10,48,44,48,62,56,0,39,45,48,48,47
P0438,24,73,41,11,4,8,1,29,38,100,12,89,42,0,41,42,46,56,53
P0439,3,0,48,10,5,8,1,0,30,62,48,66,99,0,41,46,53,48,63
P0440,10,4,54,8,5,2,0,3,56,79,24,39,58,0,38,34,26,26,27
P0441,25,10,41,1,6,7,0,14,73,81,48,61,100,0,24,29,38,25,27
P0442,8,29,44,1,6,8,2,24,33,61,73,69,74,0,43,31,39,40,49
P0443,4,32,47,8,4,5,0,13,63,80,57,69,69,1,34,37,31,25,24
P0444,13,2,37,1,6,8,2,17,72,81,52,77,70,0,42,45,46,47,39
P0445,13,14,46,5,8,7,0,10,25,57,37,76,100,0,40,31,24,28,14
P0446,17,17,51,7,5,10,0,8,53,57,49,66,30,0,26,28,19,19,13
P0447,8,97,46,1,6,10,0,13,88,69,59,49,71,1,47,48,45,53,50
P0448,24,81,48,2,5,8,4,7,68,66,57,61,62,0,34,48,55,60,62
P0449,14,28,50,6,3,2,1,17,24,89,46,58,63,1,26,45,38,53,50
P0450,8,29,44,8,6,14,0,1,70,79,52,63,70,1,35,38,41,43,43
P0451,25,10,56,10,4,6,1,18,45,67,22,79,62,0,45,43,41,46,39
P0452,24,0,63,8,6,7,4,12,70,77,33,74,70,1,24,16,20,23,22
P0453,13,35,46,6,5,6,0,10,46,37,62,81,67,0,38,36,24,17,18
P0454,1,14,54,3,4,5,2,0,57,59,65,62,45,1,37,43,37,40,36
P0455,15,36,48,2,4,13,0,5,48,72,50,92,73,0,37,35,21,19,28
P0456,14,0,53,4,4,13,0,20,58,85,78,79,79,0,41,37,49,44,51
P0457,4,20,64,8,1,9,0,11,48,71,58,70,58,0,35,42,44,38,48
P0458,16,42,55,7,6,7,3,14,54,90,43,78,99,0,31,37,37,36,39
P0459,22,47,34,0,6,9,1,6,37,81,24,57,90,0,24,31,39,40,51
P0460,3,48,54,3,7,7,0,12,67,61,77,34,81,0,33,43,35,37,39
P0461,19,6,61,11,4,6,0,2,61,66,63,58,81,1,32,30,22,22,18
P0462,4,59,48,6,10,8,1,13,29,74,84,80,68,0,30,21,29,29,34
P0463,19,19,59,0,4,5,0,15,76,61,91,69,86,0,37,34,26,22,24
P0464,11,53,44,15,3,8,2,14,55,91,22,66,94,0,30,31,37,36,51
P0465,1,38,37,6,3,8,0,6,61,51,22,54,81,0,31,20,22,28,18
P0466,25,5,51,8,1,9,3,10,72,73,0,37,57,0,41,36,36,41,35
P0467,5,30,34,8,9,5,2,16,64,79,66,91,66,1,39,42,47,53,52
P0468,15,47,48,5,8,10,0,11,79,63,61,65,77,1,39,40,25,22,22
P0469,5,53,62,3,7,3,1,10,53,60,50,61,81,1,30,35,38,47,49
P0470,24,35,33,14,3,5,2,25,77,67,23,57,66,0,37,35,20,28,22
P0471,19,75,38,10,10,5,1,5,60,80,46,88,57,1,42,44,36,38,55
P0472,21,62,41,9,4,3,3,20,67,61,52,82,94,0,53,50,43,49,46
P0473,11,32,49,8,4,11,2,4,65,52,64,53,49,1,47,43,61,54,49
P0474,12,56,47,2,9,3,1,17,80,85,53,87,51,1,34,26,23,13,11
P0475,16,84,63,11,7,4,1,17,71,74,61,66,44,1,39,34,34,23,19
P0476,20,85,59,3,11,12,0,8,50,83,46,58,51,1,33,43,45,48,48
P0477,22,9,54,7,6,5,3,3,46,79,72,63,88,0,31,29,27,29,24
P0478,1,16,51,0,4,6,0,0,57,100,61,55,89,0,40,32,37,38,31
P0479,17,74,54,0,3,3,1,8,44,85,24,47,66,0,51,40,36,30,33
P0480,3,13,42,7,1,10,2,16,39,57,76,80,75,0,29,49,48,47,57
P0481,8,6,58,3,4,10,0,4,20,75,73,64,67,0,40,24,37,34,40
P0482,21,26,40,0,8,10,0,13,30,60,57,78,47,0,36,38,39,44,33
P0483,7,48,58,8,6,9,2,2,94,61,54,73,100,1,44,41,36,15,20
P0484,20,36,61,14,5,7,0,10,46,47,81,77,90,0,19,31,31,30,28
P0485,12,22,52,12,3,5,0,4,92,64,15,35,73,1,27,32,27,10,20
P0486,6,22,48,5,6,4,0,11,65,76,73,54,52,1,41,38,31,24,30
P0487,9,21,54,6,8,12,2,8,57,67,38,77,63,0,31,32,33,23,6
P0488,14,17,30,10,6,10,1,4,31,52,70,48,55,0,14,23,26,21,23
P0489,20,93,53,10,5,4,0,7,58,45,50,74,69,0,38,43,44,41,53
P0490,16,45,49,5,3,7,1,5,92,100,23,46,72,0,39,43,36,41,40
P0491,24,59,50,6,7,6,1,3,86,73,38,68,61,0,40,32,27,37,31
P0492,22,26,56,7,1,2,1,20,63,56,68,94,42,0,34,32,31,28,40
P0493,19,34,49,8,6,8,1,9,37,75,44,80,100,1,38,34,39,42,41
P0494,16,21,40,5,11,5,1,0,41,100,36,38,71,0,38,36,30,42,33
P0495,8,0,49,6,1,3,1,8,43,77,35,82,75,0,29,20,32,27,25
P0496,11,5,51,12,4,1,2,18,81,26,61,97,60,1,29,26,24,27,16
P0497,3,0,51,11,5,1,1,7,87,100,83,100,40,1,38,25,36,33,34
P0498,10,0,51,8,4,6,1,22,62,40,5,76,66,0,28,26,11,15,2
P0499,24,9,59,13,8,7,0,6,53,65,100,46,62,1,45,52,46,57,56
P0500,11,70,40,4,6,3,1,16,86,51,52,75,79,1,42,35,21,26,15
P0501,3,37,52,12,5,10,1,19,40,57,60,94,82,0,33,42,45,38,45
P0502,17,69,62,8,7,7,0,15,59,72,39,65,80,0,35,30,9,1,0
P0503,25,48,34,18,5,9,0,2,66,37,48,85,84,1,39,52,51,54,76
P0504,22,57,52,1,13,6,1,5,42,67,52,55,98,1,26,27,26,17,11
P0505,7,16,45,3,5,4,0,20,47,85,27,74,74,0,36,30,28,24,17
P0506,12,51,47,8,5,7,0,6,45,55,32,28,86,0,44,43,43,44,46
P0507,14,55,42,8,1,2,1,19,84,47,72,53,75,1,45,45,49,50,53
P0508,7,24,48,14,4,9,1,9,92,66,17,68,35,1,39,39,39,40,37
P0509,7,51,67,3,8,3,1,13,60,63,57,62,64,1,44,50,51,56,60
P0510,6,52,39,10,2,11,0,2,53,59,41,47,52,1,34,29,21,21,26
P0511,25,25,39,11,1,6,0,8,47,50,29,60,71,0,44,51,48,44,36
P0512,19,11,38,9,5,11,0,6,58,76,87,73,54,1,41,36,38,43,30
P0513,22,10,66,2,8,3,1,14,48,77,29,67,77,0,44,39,41,37,34
P0514,21,40,46,12,5,4,1,13,56,52,25,69,84,1,32,22,13,9,5
P0515,24,46,50,11,4,9,0,15,65,54,44,80,87,0,38,35,34,36,46
P0516,3,19,46,8,1,12,2,9,51,70,33,63,95,0,30,45,37,37,27
P0517,23,39,42,7,6,14,1,5,55,54,48,90,39,0,31,31,36,42,48
P0518,2,52,48,7,7,7,0,13,55,71,51,52,47,0,30,27,11,13,10
P0519,12,53,72,6,1,14,2,5,52,90,53,99,100,0,38,29,29,26,24
P0520,15,75,63,9,8,6,2,20,50,67,46,86,84,1,42,39,56,63,69
P0521,9,69,42,6,7,11,0,11,72,50,34,62,71,0,29,29,28,33,34
P0522,4,14,56,3,8,3,0,10,26,74,61,63,68,0,32,33,40,38,35
P0523,5,78,43,2,6,9,0,15,86,65,46,71,66,1,34,46,48,52,56
P0524,21,25,34,3,7,0,1,11,60,66,38,78,34,0,27,33,31,33,41
P0525,8,63,59,7,6,3,1,0,69,75,78,86,54,0,42,50,57,65,72
P0526,8,40,60,6,7,9,2,5,71,78,46,47,65,0,29,30,35,30,23
P0527,24,28,59,7,1,2,2,19,45,69,70,75,55,0,31,23,19,10,14
P0528,4,0,46,8,1,9,2,13,42,67,73,34,57,0,32,39,42,29,46
P0529,23,34,48,3,3,11,0,0,39,99,74,65,100,0,41,40,33,37,38
P0530,24,1,57,12,5,5,1,14,54,86,62,91,63,0,25,21,26,25,21
P0531,15,61,54,5,6,3,0,8,71,81,48,45,72,1,19,32,35,25,30
P0532,5,74,46,4,6,5,0,6,47,70,47,42,71,0,28,29,17,15,19
P0533,4,19,35,8,8,3,1,4,69,53,43,72,77,0,36,43,34,37,37
P0534,8,45,51,0,8,7,2,19,15,85,5,90,59,0,29,35,38,32,34
P0535,15,21,60,3,3,7,2,0,51,70,62,73,88,0,31,41,40,37,36
P0536,4,23,39,10,6,6,0,6,79,59,53,38,75,1,38,43,42,50,54
P0537,12,57,56,0,3,14,0,13,55,64,65,41,45,0,43,35,25,19,23
P0538,3,37,53,10,5,4,2,23,43,54,46,70,65,0,35,28,27,26,20
P0539,14,80,57,12,6,13,0,16,46,84,61,49,64,1,32,33,52,57,64
P0540,1,26,58,5,1,3,2,6,3,78,20,70,63,0,36,26,18,15,5
P0541,18,62,44,7,11,7,3,23,40,71,25,71,76,0,31,34,24,29,31
P0542,2,40,35,10,6,12,1,3,77,67,0,60,78,0,40,46,59,67,66
P0543,5,57,45,4,4,12,1,14,48,58,45,97,76,0,25,31,22,26,31
P0544,5,27,58,9,10,5,1,15,50,36,33,77,73,0,39,44,44,57,56
P0545,21,37,45,3,4,9,0,6,16,47,30,87,68,0,19,31,32,37,39
P0546,2,35,44,4,5,9,2,17,29,57,55,83,30,0,33,25,30,30,26
P0547,11,18,34,3,4,5,0,8,79,55,39,66,80,1,32,35,27,39,30
P0548,15,54,66,7,9,9,0,17,69,72,19,65,75,1,51,41,35,20,18
P0549,13,54,57,11,5,14,3,0,35,80,99,63,50,1,34,42,36,30,34
P0550,18,52,57,5,5,9,1,14,47,66,47,79,72,0,37,36,30,31,39
P0551,21,75,59,1,8,9,1,9,57,89,26,58,78,0,34,32,41,37,32
P0552,10,73,55,2,6,10,0,20,36,56,35,96,87,0,25,43,47,60,59
P0553,21,29,48,8,5,1,1,12,22,66,45,56,76,0,31,35,31,32,33
P0554,8,47,49,13,8,9,2,21,55,67,44,71,72,0,44,40,56,65,50
P0555,25,23,46,8,11,3,0,16,68,84,74,64,83,1,50,44,47,51,65
P0556,13,39,74,4,6,5,2,11,69,70,46,61,62,1,36,50,46,49,55
P0557,19,24,55,9,5,16,0,18,74,70,85,100,74,1,36,28,29,31,26
P0558,22,77,46,5,5,6,1,18,30,43,39,61,56,1,37,34,37,34,41
P0559,20,47,54,4,8,4,1,15,59,55,57,63,86,1,44,31,33,30,37
P0560,22,33,41,2,4,12,0,0,53,84,68,57,40,0,32,27,32,39,30
P0561,14,67,64,12,4,3,1,5,56,37,72,69,81,1,38,34,36,33,31
P0562,2,0,44,0,1,5,0,22,54,88,74,66,67,0,41,35,40,37,40
P0563,13,0,55,9,2,12,2,3,46,75,43,50,83,0,38,31,33,21,21
P0564,5,57,60,4,4,7,0,18,4,57,48,61,54,0,36,40,29,40,35
P0565,23,39,53,4,5,1,1,17,79,56,0,78,69,0,46,46,52,63,65
P0566,6,44,51,13,9,9,1,7,64,96,44,84,68,0,34,36,32,23,22
P0567,6,6,50,3,6,5,0,0,31,89,70,68,74,0,31,45,47,59,57
P0568,7,37,49,3,3,13,0,8,67,66,66,69,49,0,39,37,46,35,45
P0569,17,86,45,5,3,5,1,27,50,70,46,62,78,0,31,25,23,28,31
P0570,15,58,46,8,8,11,2,6,50,58,82,60,36,0,23,30,29,23,20
P0571,24,42,63,4,8,14,0,6,44,70,40,53,56,0,28,26,22,29,19
P0572,11,27,49,0,5,4,0,5,68,58,34,43,40,0,33,32,19,15,9
P0573,8,29,43,3,4,6,0,21,44,67,39,57,81,0,43,51,42,55,50
P0574,2,0,45,11,8,9,3,10,38,95,26,82,74,0,27,33,46,55,65
P0575,1,44,60,6,3,4,0,8,78,67,60,61,75,1,41,46,48,51,48
P0576,10,58,56,8,6,8,0,22,55,52,54,62,92,1,33,38,48,38,49
P0577,24,0,55,5,11,6,1,16,55,48,60,62,62,0,32,32,34,28,24
P0578,14,22,48,3,6,6,0,6,70,70,40,88,77,0,29,33,42,48,48
P0579,23,10,55,13,3,7,1,3,46,57,47,53,68,0,45,42,39,45,47
P0580,3,15,44,5,6,7,0,20,50,72,4,72,66,0,33,34,38,37,40
P0581,3,39,48,4,4,8,1,12,64,44,56,67,89,0,29,22,21,14,0
P0582,21,0,59,10,2,5,0,1,30,78,50,69,100,0,49,49,47,36,36
P0583,3,53,58,3,7,5,0,0,62,52,26,72,60,1,41,39,36,45,43
P0584,2,56,41,4,8,7,0,4,44,69,46,69,81,0,30,46,43,44,47
P0585,11,32,42,6,4,7,2,3,73,63,43,81,72,0,38,44,51,60,57
P0586,24,0,51,6,4,5,0,0,68,94,83,68,73,1,41,28,24,22,13
P0587,18,14,66,7,3,8,2,4,65,71,27,96,71,0,40,32,37,25,13
P0588,3,68,33,14,5,0,3,6,29,97,55,69,61,0,39,40,38,40,49
P0589,21,0,53,7,4,4,1,9,56,76,26,41,6,0,32,38,32,37,21
P0590,22,30,38,0,2,6,2,24,37,89,37,78,93,0,32,44,39,53,42
P0591,21,10,44,7,10,4,3,10,57,65,54,74,55,0,34,30,23,17,7
P0592,23,57,47,6,6,14,0,11,16,73,44,69,63,1,38,39,42,40,36
P0593,6,22,46,6,6,7,0,16,30,86,48,64,63,0,33,38,33,31,31
P0594,25,48,45,7,7,8,0,10,79,82,55,34,54,0,39,36,40,38,45
P0595,9,52,50,6,7,5,1,15,65,76,38,37,71,1,39,35,27,31,19
P0596,21,82,45,6,4,7,1,14,52,63,66,94,66,1,46,44,30,13,5
P0597,15,33,37,8,6,2,1,13,42,66,42,59,55,0,45,42,39,45,39
P0598,20,47,57,4,4,6,1,31,38,85,46,83,70,0,40,49,48,55,51
P0599,16,2,57,2,6,3,1,18,62,88,55,42,66,0,39,46,37,52,59
P0600,17,67,58,18,6,6,1,4,52,59,53,51,83,0,37,27,30,30,29
P0601,16,20,36,3,4,0,1,15,86,57,61,79,44,0,40,38,42,51,48
P0602,20,25,53,6,2,2,0,6,55,54,54,66,53,1,42,41,40,50,55
P0603,19,37,56,0,5,13,1,15,59,80,57,77,79,0,31,37,45,44,53
P0604,4,0,41,6,4,10,2,2,33,54,41,68,56,0,39,44,43,39,39
P0605,21,43,50,2,1,12,0,4,52,80,27,65,52,0,31,25,25,14,0
P0606,14,61,49,4,6,13,0,14,61,76,19,57,57,0,33,38,44,40,33
P0607,9,45,67,10,7,10,2,19,51,60,15,49,65,1,38,30,34,48,40
P0608,13,0,67,8,11,5,1,16,49,91,83,90,65,1,32,42,46,43,49
P0609,25,35,35,8,4,3,1,18,64,46,4,93,63,0,28,14,22,10,0
P0610,22,56,72,0,4,12,0,15,85,93,72,51,50,1,42,36,36,38,38
P0611,21,0,42,13,2,7,1,13,61,73,32,50,80,0,28,26,31,41,44
P0612,12,12,59,1,6,17,1,8,79,37,72,62,90,0,24,22,17,21,30
P0613,20,59,59,12,6,6,2,18,69,92,4,73,35,0,40,41,40,37,40
P0614,10,44,41,10,3,15,0,19,78,83,43,65,41,1,50,58,57,71,81
P0615,18,48,54,8,5,6,1,12,47,62,77,76,84,1,31,22,25,18,17
P0616,16,83,49,3,1,12,1,11,54,54,62,67,94,0,41,43,48,58,62
P0617,7,49,55,7,7,14,2,23,54,44,41,66,31,0,37,37,45,52,55
P0618,7,54,52,4,3,3,1,12,68,100,9,100,81,0,35,28,27,30,31
P0619,2,103,61,6,5,5,0,13,72,54,22,60,95,1,44,44,39,48,38
P0620,4,33,51,5,1,3,2,15,60,49,76,94,52,0,31,37,32,33,33
P0621,11,19,48,0,4,2,0,11,74,72,41,91,94,0,36,28,35,33,41
P0622,12,48,60,10,4,10,1,6,48,43,47,76,64,1,29,30,26,22,26
P0623,5,49,55,6,5,6,1,15,74,53,54,37,72,1,37,25,28,23,22
P0624,11,25,57,4,6,7,0,12,76,83,22,68,55,0,41,35,34,28,39
P0625,16,13,44,4,9,9,0,25,70,75,56,60,84,1,33,38,41,34,33
P0626,6,93,41,7,7,0,0,18,60,62,40,68,81,0,36,35,31,31,33
P0627,9,46,45,2,7,12,1,8,71,68,54,51,96,0,52,35,33,22,6
P0628,10,20,44,0,9,6,2,17,42,61,36,80,91,0,49,40,46,41,49
P0629,13,60,57,8,6,9,0,14,62,67,17,84,67,0,32,34,32,30,28
P0630,10,35,59,8,5,9,1,21,63,57,39,87,100,0,26,16,10,9,0
P0631,19,32,49,5,8,12,1,8,34,59,61,62,90,0,34,35,34,28,28
P0632,9,51,63,1,8,7,1,13,67,59,56,51,76,1,32,34,29,29,31
P0633,11,7,62,6,7,0,1,11,36,57,49,74,50,0,37,45,49,57,52
P0634,10,46,52,0,1,7,1,12,50,84,66,96,41,0,27,26,30,14,14
P0635,5,84,43,2,3,8,1,6,59,80,44,69,42,0,23,34,29,36,39
P0636,18,49,64,3,4,3,1,16,45,54,49,75,51,1,28,26,38,46,40
P0637,6,29,49,9,7,8,1,15,59,50,38,64,90,0,30,39,32,26,31
P0638,8,26,51,5,5,6,0,21,59,66,67,60,75,0,20,19,25,28,29
P0639,20,28,47,4,8,2,1,12,43,100,54,79,57,0,26,29,43,54,62
P0640,24,32,42,14,8,10,0,9,68,53,37,66,65,1,43,47,40,50,44
P0641,17,29,37,7,8,5,3,18,44,66,18,74,63,0,31,29,31,37,43
P0642,23,60,56,7,8,5,1,6,99,69,70,76,81,1,36,31,26,35,31
P0643,22,0,43,5,2,5,0,20,56,66,33,74,52,0,31,32,36,43,43
P0644,13,59,75,4,6,12,1,20,37,61,49,77,73,0,24,38,28,23,34
P0645,20,29,40,0,3,7,2,21,40,85,95,54,72,0,33,35,17,10,2
P0646,9,47,39,10,1,7,1,15,79,75,64,53,53,0,30,35,29,30,24
P0647,12,11,55,8,4,5,0,9,51,81,80,67,94,0,35,29,24,24,8
P0648,14,70,64,5,8,9,1,13,33,77,37,68,62,0,26,37,34,33,35
P0649,25,68,51,5,6,12,1,15,73,81,69,60,50,1,38,33,28,33,21
P0650,22,61,55,9,10,10,1,8,51,92,49,72,81,1,41,51,49,49,50
P0651,13,2,33,0,5,10,0,21,70,88,55,83,68,0,31,32,33,36,34
P0652,17,58,44,4,11,9,2,16,75,100,88,87,74,1,44,40,32,26,17
P0653,6,48,40,1,5,1,1,6,63,86,42,91,47,0,23,28,26,21,24
P0654,21,0,33,13,5,3,2,25,100,58,48,47,81,0,38,37,43,43,51
P0655,14,37,51,10,2,6,0,13,27,81,30,49,100,0,33,35,36,55,46
P0656,14,47,30,0,8,4,0,4,43,79,66,63,46,0,32,33,31,21,24
P0657,20,51,38,0,4,3,0,6,53,97,37,69,73,0,35,31,26,26,20
